Date,High,Low,Mid,Last,Bid,Ask,Volume
2018-05-25,6531.4033589,6242.2,6313.9,6311.1,6312.7,6315.1,1185.07024155
2018-05-24,6598.2,6182.59422,6449.6,6446.4,6449.5,6449.7,2000.54205225
2018-05-23,6811.5,6323.1,6473.1,6470.8,6473.0,6473.2,2146.12777194
2018-05-22,7136.1,6769.4,6774.75,6775.4,6774.7,6774.8,1233.45685496
2018-05-21,7367.0,7059.5,7094.7,7094.6495394,7094.6,7094.8,953.60087135
2018-05-20,7294.0,6944.0,7218.25,7218.28656,7218.2,7218.3,702.43763382
2018-05-19,7171.9,6915.9,6970.75,6970.8,6970.7,6970.8,561.51173252
2018-05-18,7027.1,6724.0,6973.2,6973.7,6973.1,6973.3,1152.99629964
2018-05-17,7164.3,6765.4,6846.9,6843.5,6846.8,6847.0,1433.7916681
2018-05-16,7179.7,6850.0,7013.5,7019.5,7013.4,7013.6,1790.94935973
2018-05-15,7421.9,7113.1355118,7140.75,7131.7,7139.7,7141.8,1241.57659431
2018-05-14,7438.8,6917.2,7271.95,7245.8067448,7271.6,7272.3,1335.44029513
